gender,birth_year,education_stage,work_mode,device_usage_type,daily_screen_time,social_media_hours,doomscrolling_duration,late_night_device_usage,notification_count,smartphone_unlocks,app_switch_frequency,concentration_score,distraction_frequency,focus_sessions,deep_work_hours,task_completion_rate,sleep_hours,sleep_quality,motivation_level,emotional_exhaustion,stress_level,mental_fatigue,DE01_indicator_score,DE02_indicator_score,DE04_indicator_score,DE05_indicator_score,PS02_indicator_score,CP03_indicator_score,CP02_indicator_score,CP04_indicator_score,SR01_indicator_score,SR05_indicator_score,PS03_indicator_score,PS04_indicator_score,psychological_symptoms_score,digital_exposure_score,cognitive_performance_score,sleep_and_recovery_score,digital_burnout_score,dbi_level
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 3-4+),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,4,3,4,3,3,3,2,9,2,2,2,2,4,3,4,4,4,4,1.0,0.8333333333333333,1.0,1.0,1.0,0.3703703703703704,0.33333333333333337,0.33333333333333337,0.0,0.7777777777777778,0.75,0.75,0.3081114734880773,0.32269261053526277,0.0657528966511499,0.0240239411337849,0.7205809218082749,High Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,3,1,3,1,1,1,2,6,1,2,2,2,3,7,7,4,4,4,0.75,0.5,0.3333333333333333,0.3333333333333333,0.75,0.3703703703703704,0.33333333333333337,0.33333333333333337,0.25,0.3333333333333335,0.75,0.75,0.27642474947024387,0.1698002905819802,0.0657528966511499,0.03154577543575718,0.5435237121391312,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),"Chủ yếu để học (LMS, tài liệu, nghiên cứu)",4,3,2,3,1,0,0,6,1,1,0,3,1,5,6,4,5,5,1.0,0.5,0.16666666666666666,1.0,0.5,0.48148148148148145,1.0,0.0,0.75,0.5555555555555556,0.875,1.0,0.2788074106814355,0.2563478708486692,0.10963686588517227,0.08090935994510873,0.7257015073603857,High Risk
Nam,2006 - 2008,Sinh viên đại học / cao đẳng (năm 3-4+),"Kết hợp hybrid (2-3 ngày trực tiếp, còn lại online/remote)",Cân bằng cả học lẫn giải trí,3,1,2,3,0,1,2,6,0,1,2,2,2,8,7,2,3,3,0.75,0.5,0.16666666666666666,1.0,0.5,0.3703703703703704,0.33333333333333337,0.33333333333333337,0.5,0.22222222222222232,0.375,0.5,0.1578976924036064,0.22331499912153957,0.0657528966511499,0.049363584509351556,0.49632917268564747,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,3,1,3,3,2,3,3,5,2,2,2,2,1,7,8,5,5,3,0.75,0.6666666666666666,0.8333333333333333,1.0,0.75,0.5185185185185186,0.33333333333333337,0.33333333333333337,0.75,0.3333333333333335,1.0,0.5,0.32151178597088753,0.27315920548455996,0.07880721095897493,0.07404537676402732,0.7475235791784498,High Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),"Chủ yếu để học (LMS, tài liệu, nghiên cứu)",3,2,3,3,2,2,1,10,3,3,3,3,2,8,8,4,4,3,0.75,0.5,0.6666666666666666,1.0,0.75,0.3333333333333333,0.0,0.0,0.5,0.22222222222222232,0.75,0.5,0.26874083815110844,0.2566586721609868,0.02937220719260633,0.049363584509351556,0.6041353020140531,Low Risk
Nữ,2006 - 2008,Sinh viên đại học / cao đẳng (năm 1-2),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),"Chủ yếu để học (LMS, tài liệu, nghiên cứu)",3,3,4,3,3,2,3,5,1,1,1,2,1,6,7,3,4,5,0.75,1.0,0.8333333333333333,1.0,1.0,0.5185185185185185,0.6666666666666667,0.33333333333333337,0.75,0.4444444444444444,0.625,1.0,0.28940991089732326,0.2839311567720748,0.10121065908722189,0.07747736835456802,0.752029095111188,High Risk
Nữ,2003 - 2005,Sinh viên đại học / cao đẳng (năm 3-4+),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,3,2,4,3,2,2,2,7,3,2,2,1,2,6,5,5,4,4,0.75,0.6666666666666666,0.6666666666666666,1.0,1.0,0.5555555555555557,0.33333333333333337,0.6666666666666667,0.5,0.4444444444444444,0.875,0.75,0.33449694739796687,0.26204464780474424,0.09278445228927154,0.05622756769043295,0.7455536151824156,High Risk
Nam,2006 - 2008,Sinh viên đại học / cao đẳng (năm 3-4+),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),"Chủ yếu để giải trí (mạng xã hội, game, xem phim)",0,1,2,3,2,0,1,7,2,1,1,2,3,7,7,3,3,2,0.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5555555555555556,0.6666666666666667,0.33333333333333337,0.25,0.3333333333333335,0.5,0.25,0.1765992549943605,0.129944965976209,0.10447423766417815,0.03154577543575718,0.4425642340705048,Low Risk
Nam,2009 - 2012,Vừa học vừa đi làm / thực tập,"Kết hợp hybrid (2-3 ngày trực tiếp, còn lại online/remote)","Chủ yếu để học (LMS, tài liệu, nghiên cứu)",1,2,3,0,0,2,3,8,2,1,1,3,4,3,2,1,5,5,0.25,0.8333333333333333,0.3333333333333333,0.0,0.75,0.5185185185185186,0.6666666666666667,0.0,0.0,0.7777777777777778,0.5,1.0,0.23133771296960023,0.08219186530554815,0.09049699633388157,0.0240239411337849,0.4280505157428149,Low Risk
Nữ,2006 - 2008,Vừa học vừa đi làm / thực tập,"Tự do, không cố định lịch trình",Chủ yếu giao tiếp nhóm và làm việc cộng tác,3,3,1,2,0,1,3,4,3,2,1,3,1,4,1,1,1,5,0.75,1.0,0.16666666666666666,0.6666666666666666,0.25,0.6666666666666666,0.6666666666666667,0.0,0.75,0.6666666666666667,0.0,1.0,0.062422369294375224,0.2071582929431242,0.1035513106417066,0.08434135153564942,0.45747332441485544,Low Risk
Nam,2000 - 2002,Đã đi làm toàn thời gian,Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,3,0,4,3,3,3,0,1,3,2,2,3,4,1,8,1,3,5,0.75,0.0,1.0,1.0,1.0,0.7777777777777778,0.33333333333333337,0.0,0.0,1.0,0.25,1.0,0.21025348916765457,0.2627298605893461,0.0909385982443284,0.0308879243148663,0.5948098723161954,Low Risk
Nam,2009 - 2012,Đã đi làm toàn thời gian,Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),Cân bằng cả học lẫn giải trí,3,0,0,0,1,0,2,5,0,2,2,3,3,2,6,2,5,3,0.75,0.3333333333333333,0.16666666666666666,0.0,0.0,0.29629629629629634,0.33333333333333337,0.0,0.25,0.8888888888888888,0.625,0.5,0.14729519218771867,0.1209851241487195,0.04851207674389704,0.048705733388460674,0.3654981264687959,Low Risk
Nữ,1997 - 1999,Khác,"Tự do, không cố định lịch trình",Cân bằng cả học lẫn giải trí,1,3,4,0,2,3,3,6,1,2,0,2,0,4,8,3,3,2,0.25,1.0,0.8333333333333333,0.0,1.0,0.3703703703703704,1.0,0.33333333333333337,1.0,0.6666666666666667,0.5,0.25,0.23997270303002735,0.12092151398875278,0.11055979290764383,0.1055911521997845,0.5770451621262085,Low Risk
Nữ,1997 - 1999,Sinh viên đại học / cao đẳng (năm 1-2),Hoàn toàn trực tiếp (đến trường / văn phòng ≥ 4 ngày/tuần),"Chủ yếu để giải trí (mạng xã hội, game, xem phim)",2,3,2,2,0,0,1,4,2,2,3,3,0,4,9,5,3,4,0.5,0.6666666666666666,0.0,0.6666666666666666,0.5,0.5555555555555557,0.0,0.0,1.0,0.6666666666666667,0.75,0.75,0.24473802545241047,0.152238912248664,0.0489536786543439,0.1055911521997845,0.5515217685552029,Low Risk
